yaw,pitch,roll,ayaw,apitch,aroll,myaw,mpitch,mroll,time
60,2.13,-1.44,61.24,2.38,-1.39,178.690453729265,-0.600491609191635,-1.21846502511045,1.138
60,2.13,-1.44,61.24,2.39,-1.4,178.666868330507,-0.610874069650431,-1.24069188985649,1.259
60,2.13,-1.44,61.24,2.39,-1.39,178.642990476211,-0.621409901913934,-1.26160490094203,1.259
60,2.13,-1.44,61.24,2.39,-1.4,178.620352111454,-0.631389038837786,-1.28371996136522,1.259
60,2.13,-1.44,61.23,2.39,-1.4,178.59662754456,-0.642533977276156,-1.3059699216742,1.259
60,2.13,-1.44,61.23,2.39,-1.4,178.572945708081,-0.653094710896244,-1.32825253898451,1.259
60,2.13,-1.44,61.24,2.39,-1.4,178.548706400709,-0.663662194981497,-1.35050426614955,1.379
60,2.13,-1.44,61.24,2.39,-1.4,178.525042953716,-0.67477849120146,-1.37334129707055,1.379
60,2.13,-1.44,61.25,2.39,-1.4,178.50265273787,-0.684374814240025,-1.39617933386996,1.379
60,2.13,-1.44,61.25,2.39,-1.4,178.479575269908,-0.693916225602913,-1.41835341056795,1.379
60,2.13,-1.44,61.25,2.39,-1.4,178.456082018703,-0.705090539474462,-1.4420247717124,1.49
60,2.13,-1.44,61.26,2.39,-1.4,178.433166842209,-0.716887792680035,-1.46624515441047,1.49
60,2.13,-1.44,61.26,2.39,-1.4,178.410071241654,-0.727596564245071,-1.48899059487288,1.49
60,2.13,-1.44,61.26,2.39,-1.4,178.386362120831,-0.737084585827628,-1.51054261005574,1.49
60,2.13,-1.44,61.27,2.39,-1.4,178.363194945659,-0.747498594530915,-1.53249692689215,1.49
60,2.13,-1.44,61.27,2.39,-1.39,178.340620843835,-0.758492500183311,-1.55444926883952,1.599
60,2.13,-1.44,61.27,2.38,-1.39,178.317442306498,-0.769755928692469,-1.57651362078832,1.599
60,2.13,-1.44,61.27,2.39,-1.4,178.294822504595,-0.778370029497149,-1.59978565680878,1.599
60,2.13,-1.44,61.28,2.38,-1.39,178.270581394896,-0.787927077931714,-1.62186336060818,1.599
60,2.13,-1.44,61.3,2.38,-1.39,178.246957725806,-0.799278890153444,-1.64277717082374,1.699
60,2.13,-1.44,61.31,2.38,-1.38,178.224594372869,-0.809581834555651,-1.66492851785232,1.699
60,2.13,-1.44,61.32,2.38,-1.38,178.201690441026,-0.818580705233107,-1.68832142271107,1.699
60,2.13,-1.44,61.32,2.38,-1.38,178.176765043741,-0.829550193837465,-1.71048118055277,1.699
60,2.13,-1.44,61.32,2.38,-1.38,178.153041998307,-0.839984027879629,-1.73201498849205,1.815
60,2.13,-1.44,61.32,2.38,-1.38,178.128550451305,-0.85018199622416,-1.75406001621704,1.815
60,2.13,-1.44,61.32,2.38,-1.38,178.104643401587,-0.860328175257256,-1.77610764142055,1.815
60,2.13,-1.44,61.33,2.38,-1.38,178.080579770618,-0.870310625098124,-1.79725014214973,1.815
60,2.13,-1.44,61.33,2.38,-1.38,178.056576998729,-0.88153583169701,-1.81902256483511,1.815
60,2.13,-1.44,61.34,2.38,-1.38,178.032521930978,-0.893538710967218,-1.84188476868931,1.917
60,2.13,-1.44,61.34,2.38,-1.38,178.009639754187,-0.903071663344094,-1.86356890507574,1.917
60,2.13,-1.44,61.35,2.38,-1.37,177.986682297284,-0.912755300391935,-1.88449841546031,1.917
60,2.13,-1.44,61.36,2.38,-1.37,177.96436414052,-0.922486782780511,-1.90720926636492,1.917
60,2.13,-1.44,61.35,2.38,-1.37,177.939811780994,-0.933450749939213,-1.92855371067759,2.038
60,2.13,-1.44,61.35,2.38,-1.37,177.916444924565,-0.941954236690761,-1.94985682645208,2.038
60,2.13,-1.44,61.36,2.38,-1.37,177.893063966485,-0.951317962386388,-1.97223383652693,2.038
60,2.13,-1.44,61.36,2.39,-1.37,177.869046401047,-0.961185145544178,-1.99343581999124,2.038
60,2.13,-1.44,61.36,2.38,-1.37,177.846501291079,-0.972328533611409,-2.01734856945624,2.038
60,2.13,-1.44,61.35,2.38,-1.37,177.822160807687,-0.983323114219041,-2.04064790165407,2.159
60,2.13,-1.44,61.36,2.38,-1.37,177.798427861538,-0.993970241560843,-2.06323026672013,2.159
60,2.13,-1.44,61.36,2.38,-1.37,177.774692106016,-1.00460266963056,-2.0846338433626,2.159
60,2.13,-1.44,61.35,2.38,-1.38,177.750202627556,-1.01370221194921,-2.10544570834746,2.159
60,2.13,-1.44,61.35,2.39,-1.38,177.725120738492,-1.02334823370729,-2.12805222289246,2.259
60,2.13,-1.44,61.34,2.38,-1.38,177.699431168925,-1.03565916213207,-2.1489046007129,2.259
60,2.13,-1.44,61.34,2.39,-1.38,177.676273200426,-1.04491235893049,-2.17094220847621,2.259
60,2.13,-1.44,61.33,2.39,-1.39,177.652232195653,-1.05467145900052,-2.19336328958573,2.259
60,2.13,-1.44,61.32,2.39,-1.39,177.629970554669,-1.06704298463971,-2.21570026448418,2.379
60,2.13,-1.44,61.33,2.39,-1.39,177.606452629476,-1.07697986157514,-2.23668685913409,2.379
60,2.13,-1.44,61.34,2.39,-1.38,177.582349382281,-1.08636252089307,-2.25824622126946,2.379
60,2.13,-1.44,61.35,2.39,-1.38,177.558824948978,-1.09685727117057,-2.27923581553156,2.379
60,2.13,-1.44,61.36,2.38,-1.37,177.533510154405,-1.10670742699168,-2.30025176884272,2.379
60,2.13,-1.44,61.35,2.39,-1.38,177.51092942562,-1.11611330397438,-2.32337608603711,2.479
60,2.13,-1.44,61.35,2.39,-1.38,177.488900364304,-1.1260907937968,-2.34645830582039,2.479
60,2.13,-1.44,61.35,2.39,-1.38,177.465085525266,-1.13591762332406,-2.36839209773889,2.479
60,2.13,-1.44,61.35,2.39,-1.38,177.441318675126,-1.1457967906749,-2.39093230375026,2.479
60,2.13,-1.44,61.34,2.39,-1.38,177.416021945212,-1.15621609834201,-2.41272277939649,2.599
60,2.13,-1.44,61.34,2.39,-1.38,177.392592187651,-1.16555582856839,-2.43382448327311,2.599
60,2.13,-1.44,61.34,2.39,-1.38,177.368362058478,-1.17613867470075,-2.45526744887172,2.599
60,2.13,-1.44,61.34,2.39,-1.38,177.345331226981,-1.18739944953182,-2.47607754512305,2.599
60,2.13,-1.44,61.35,2.39,-1.37,177.321106383056,-1.19681936058703,-2.4986676072386,2.599
60,2.13,-1.44,61.36,2.39,-1.37,177.296835770773,-1.20619793699942,-2.51946400702259,2.699
60,2.13,-1.44,61.35,2.39,-1.37,177.273743497364,-1.21623232342934,-2.54201823064737,2.699
60,2.13,-1.44,61.35,2.4,-1.37,177.250030437433,-1.22619960004046,-2.5639919482363,2.699
60,2.13,-1.44,61.34,2.4,-1.37,177.227153052059,-1.23535403191218,-2.58509798789059,2.699
60,2.13,-1.44,61.33,2.4,-1.37,177.203643857016,-1.24569662852492,-2.60616988494686,2.815
60,2.13,-1.44,61.33,2.4,-1.38,177.180622839726,-1.25667459632306,-2.62826913129583,2.815
60,2.13,-1.44,61.32,2.4,-1.38,177.157094665985,-1.26699668828409,-2.6516627282141,2.815
60,2.13,-1.44,61.31,2.4,-1.39,177.132351706099,-1.27786004213531,-2.67506277647398,2.815
60,2.13,-1.44,61.31,2.4,-1.39,177.109356725125,-1.28758649926823,-2.69778308922728,2.815
60,2.13,-1.44,61.3,2.41,-1.39,177.085981580247,-1.29859170920203,-2.72010733833441,2.915
60,2.13,-1.44,61.3,2.4,-1.4,177.063260001937,-1.30967635413816,-2.74244201073512,2.915
60,2.13,-1.44,61.29,2.41,-1.4,177.040448340203,-1.31990420776724,-2.76363516979763,2.915
60,2.13,-1.44,61.28,2.41,-1.41,177.016464325195,-1.3301603311556,-2.78659296195775,2.915
60,2.13,-1.44,61.28,2.41,-1.4,176.991247973229,-1.34100452443065,-2.80826909449921,3.034
60,2.13,-1.44,61.28,2.41,-1.41,176.968493547531,-1.3518691175045,-2.83116968924265,3.034
60,2.13,-1.44,61.28,2.41,-1.41,176.945337732151,-1.36300550362252,-2.85479127810862,3.034
60,2.13,-1.44,61.27,2.41,-1.41,176.920183266836,-1.37402034364323,-2.87602284408563,3.034
60,2.13,-1.44,61.27,2.41,-1.41,176.896508710201,-1.38425329897997,-2.8999112299124,3.148
60,2.13,-1.44,61.27,2.41,-1.41,176.873393183361,-1.39398338655308,-2.92184769373868,3.148
60,2.13,-1.44,61.27,2.41,-1.41,176.851124478339,-1.40481134780022,-2.94559079259469,3.148
60,2.13,-1.44,61.28,2.41,-1.41,176.827615915016,-1.41364318222953,-2.96874965470765,3.148
60,2.13,-1.44,61.28,2.41,-1.41,176.803343893296,-1.4241259018666,-2.99179813640863,3.148
60,2.13,-1.44,61.29,2.4,-1.4,176.779043973117,-1.43579822998897,-3.01364703711875,3.267
60,2.13,-1.44,61.3,2.4,-1.4,176.755013823706,-1.44655163061391,-3.03563359191027,3.267
60,2.13,-1.44,61.31,2.4,-1.39,176.730949841558,-1.45783697254823,-3.05761364161229,3.267
60,2.13,-1.44,61.32,2.39,-1.39,176.707021321555,-1.46828482910187,-3.07920063666591,3.267
60,2.13,-1.44,61.33,2.39,-1.38,176.682442811017,-1.47863712946929,-3.10019203976185,3.267
60,2.13,-1.44,61.33,2.39,-1.38,176.658482112836,-1.48874195568429,-3.12063682379469,3.369
60,2.13,-1.44,61.34,2.39,-1.38,176.633925382198,-1.49888163945459,-3.14105957913974,3.369
60,2.13,-1.44,61.35,2.38,-1.37,176.611515830666,-1.5107379378141,-3.16170176672161,3.369
60,2.13,-1.44,61.36,2.38,-1.37,176.587319599981,-1.52127324839813,-3.18173418984358,3.369
60,2.13,-1.44,61.36,2.38,-1.37,176.563063026042,-1.53182498066257,-3.20259132858871,3.488
60,2.13,-1.44,61.35,2.39,-1.37,176.538846671765,-1.54053151214604,-3.22467549856138,3.488
60,2.13,-1.44,61.36,2.39,-1.37,176.514277910128,-1.55040887562875,-3.24681264208158,3.488
60,2.13,-1.44,61.36,2.38,-1.37,176.490285348272,-1.56089261185599,-3.26891505623812,3.488
60,2.13,-1.44,61.37,2.38,-1.37,176.467478144024,-1.57091628635225,-3.2915042021703,3.589
60,2.13,-1.44,61.37,2.38,-1.37,176.444081304709,-1.58271889115637,-3.31294326097232,3.589
60,2.13,-1.44,61.37,2.38,-1.37,176.421360585692,-1.5934077806507,-3.33407320227335,3.589
60,2.13,-1.44,61.37,2.38,-1.37,176.395556668659,-1.60277405514277,-3.35527591376213,3.589
60,2.13,-1.44,61.35,2.39,-1.38,176.369042899373,-1.61159459875548,-3.37593868778436,3.708
60,2.13,-1.44,61.34,2.39,-1.38,176.344442006963,-1.62115756344993,-3.39653808165724,3.708
60,2.13,-1.44,61.35,2.39,-1.38,176.320639718592,-1.63216531141386,-3.4176019988957,3.708
60,2.13,-1.44,61.36,2.38,-1.37,176.296264058483,-1.64195552729452,-3.4386972955389,3.708
60,2.13,-1.44,61.36,2.38,-1.37,176.272816467642,-1.65251929924358,-3.46121947891777,3.708
60,2.13,-1.44,61.37,2.38,-1.37,176.248730194653,-1.66230588267046,-3.48378682026458,3.809
60,2.13,-1.44,61.37,2.38,-1.37,176.224714471056,-1.67307192510126,-3.50529341857608,3.809
60,2.13,-1.44,61.38,2.38,-1.37,176.20070876367,-1.68325589756427,-3.52621478798768,3.809
60,2.13,-1.44,61.38,2.38,-1.37,176.176753400689,-1.69313751541451,-3.54827234157152,3.809
60,2.13,-1.44,61.38,2.38,-1.36,176.153397194128,-1.70548394785149,-3.57034255721543,3.924
60,2.13,-1.44,61.39,2.37,-1.36,176.130512431922,-1.71748532319026,-3.59387986345,3.924
60,2.13,-1.44,61.39,2.37,-1.36,176.107540614194,-1.72762783327845,-3.61376591878807,3.924
60,2.13,-1.44,61.39,2.37,-1.36,176.083284629102,-1.73835117496264,-3.63565901826941,3.924
60,2.13,-1.44,61.39,2.37,-1.36,176.059609536663,-1.74843224529047,-3.65696758046871,3.924
60,2.13,-1.44,61.38,2.38,-1.36,176.035583753275,-1.75857650046706,-3.67908903180432,4.039
60,2.13,-1.44,61.38,2.38,-1.36,176.012234385993,-1.76828320322129,-3.7017816147032,4.039
60,2.13,-1.44,61.38,2.37,-1.36,175.988164068487,-1.78044107258049,-3.72319987424819,4.039
60,2.13,-1.44,61.38,2.38,-1.36,175.964667446657,-1.79009443094844,-3.74400657651956,4.039
60,2.13,-1.44,61.4,2.37,-1.36,175.940524706205,-1.80112305783384,-3.76571297695634,4.161
60,2.13,-1.44,61.42,2.37,-1.35,175.916329750837,-1.81215162721188,-3.78619443401198,4.161
60,2.13,-1.44,61.42,2.37,-1.35,175.892801019857,-1.82215409900182,-3.81039923613205,4.161
60,2.13,-1.44,61.42,2.37,-1.34,175.869775273909,-1.83331946037685,-3.83209853671664,4.161
60,2.13,-1.44,61.42,2.37,-1.35,175.846270673685,-1.84279702983157,-3.85411591963033,4.161
60,2.13,-1.44,61.41,2.37,-1.35,175.82334247021,-1.85175054210093,-3.87548224416342,4.278
60,2.13,-1.44,61.41,2.37,-1.35,175.798993602552,-1.86227316183519,-3.89671816420982,4.278
60,2.13,-1.44,61.4,2.38,-1.35,175.773956039499,-1.87149125818064,-3.91732416359847,4.278
60,2.13,-1.44,61.39,2.38,-1.36,175.749963525881,-1.88090266184188,-3.93831350517495,4.278
60,2.13,-1.44,61.38,2.38,-1.36,175.726556692363,-1.89155117110485,-3.95926227977144,4.278
60,2.13,-1.44,61.38,2.38,-1.36,175.70237069736,-1.90192230370377,-3.98105981397923,4.393
60,2.13,-1.44,61.38,2.39,-1.36,175.678215466732,-1.91105540916119,-4.00406192687088,4.393
60,2.13,-1.44,61.39,2.38,-1.35,175.655596206726,-1.92116815273853,-4.0254122349661,4.393
60,2.13,-1.44,61.4,2.38,-1.35,175.632980240339,-1.93182716677989,-4.04621086394747,4.393
60,2.13,-1.44,61.4,2.38,-1.35,175.60778660719,-1.94153208006512,-4.06780857486107,4.393
60,2.13,-1.44,61.39,2.38,-1.35,175.584387334453,-1.95199422483236,-4.08873518874246,4.508
60,2.13,-1.44,61.38,2.39,-1.35,175.560514825606,-1.96148500886787,-4.11033810775725,4.508
60,2.13,-1.44,61.38,2.39,-1.36,175.535356828517,-1.97213515883882,-4.13139095811598,4.508
60,2.13,-1.44,61.38,2.38,-1.36,175.510238003727,-1.98264766953716,-4.15408675867643,4.508
60,2.13,-1.44,61.38,2.39,-1.36,175.485033224401,-1.99187158880491,-4.17441864762582,4.732
60,2.13,-1.44,61.38,2.39,-1.36,175.461955247941,-2.00177929836774,-4.19838613479498,4.732
60,2.13,-1.44,61.39,2.38,-1.36,175.438839210787,-2.01290535313504,-4.22046518406628,4.732
60,2.13,-1.44,61.4,2.38,-1.35,175.415055212028,-2.02381973842637,-4.24076043396879,4.732
60,2.13,-1.44,61.41,2.38,-1.35,175.391315849909,-2.03467776813216,-4.26170741749707,4.732
60,2.13,-1.44,61.4,2.38,-1.35,175.367342153081,-2.04520816697839,-4.28265468907178,4.732
60,2.13,-1.44,61.39,2.38,-1.36,175.342822716171,-2.05505854722161,-4.30542678770267,4.732
60,2.13,-1.44,61.38,2.39,-1.36,175.318930774554,-2.06504223587458,-4.32757451883981,4.732
60,2.13,-1.44,61.38,2.39,-1.36,175.295070868907,-2.07572504680371,-4.34969683914174,4.732
60,2.13,-1.44,61.37,2.39,-1.36,175.272422464481,-2.08459098978022,-4.37125971901429,4.858
60,2.13,-1.44,61.36,2.39,-1.36,175.249225109523,-2.09452111818655,-4.39351850954108,4.858
60,2.13,-1.44,61.36,2.39,-1.37,175.227584605768,-2.10407601893694,-4.41585428363398,4.858
