Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11
4.62963E-08,-0.3184,-0.5315,-9.721,-0.0006,0,-0.0006,50.0919,75.7133,-46.2527,0.00462963
4.62963E-08,-0.3184,-0.5315,-9.721,-0.0006,0,-0.0006,50.0919,75.7133,-46.2527,0.00462963
4.62963E-08,-0.3328,-0.5076,-9.7066,0.0004,0.0005,0.0005,50.0919,75.7133,-46.2527,0.00462963
4.62963E-08,-0.3328,-0.5076,-9.7066,0.0004,0.0005,0.0005,50.0919,75.7133,-46.2527,0.00462963
4.62963E-08,-0.3328,-0.522,-9.7114,-0.0012,0.0005,0.0005,50.0919,75.7133,-46.2527,0.00462963
4.62963E-08,-0.3328,-0.522,-9.7114,-0.0012,0.0005,0.0005,50.0919,75.7133,-46.2527,0.00462963
4.62963E-08,-0.3328,-0.5507,-9.6994,-0.0006,-0.0006,0.0005,50.0919,75.7133,-46.2527,0.00462963
4.62963E-08,-0.3352,-0.5291,-9.7305,-0.0001,-0.0006,0.001,52.642,74.2608,-45.9036,0.00462963
4.62963E-08,-0.3352,-0.5291,-9.7305,-0.0001,-0.0006,0.001,52.642,74.2608,-45.9036,0.00462963
4.62963E-08,-0.3544,-0.5124,-9.7162,-0.0012,0,-0.0006,52.642,74.2608,-45.9036,0.00462963
4.62963E-08,-0.3544,-0.5124,-9.7162,-0.0012,0,-0.0006,52.642,74.2608,-45.9036,0.00462963
4.62963E-08,-0.3496,-0.51,-9.7473,-0.0006,-0.0006,-0.0001,52.642,74.2608,-45.9036,0.00462963
4.62963E-08,-0.3496,-0.51,-9.7473,-0.0006,-0.0006,-0.0001,52.642,74.2608,-45.9036,0.00462963
4.62963E-08,-0.34,-0.5028,-9.7042,0.0015,0,-0.0006,52.642,74.2608,-45.9036,0.00462963
4.62963E-08,-0.3352,-0.522,-9.7353,-0.0006,0.0005,-0.0006,52.642,74.2608,-45.9036,0.00462963
4.62963E-08,-0.3352,-0.522,-9.7353,-0.0006,0.0005,-0.0006,52.642,74.2608,-45.9036,0.00462963
4.62963E-08,-0.3424,-0.5148,-9.6994,0.0004,-0.0006,-0.0001,52.642,74.2608,-45.9036,0.00462963
4.62963E-08,-0.3424,-0.5148,-9.6994,0.0004,-0.0006,-0.0001,52.642,74.2608,-45.9036,0.00462963
4.62963E-08,-0.3328,-0.5148,-9.776,-0.0006,-0.0006,-0.0001,52.642,74.2608,-45.9036,0.00462963
4.62963E-08,-0.3328,-0.5148,-9.776,-0.0006,-0.0006,-0.0001,52.642,74.2608,-45.9036,0.00462963
1.43519E-06,-0.3304,-0.498,-9.7233,0.0004,-0.0011,0.0005,50.8205,75.7133,-47.649,0.143518519
1.43519E-06,-0.3472,-0.5268,-9.7257,-0.0006,0,0.001,50.8205,75.7133,-47.649,0.143518519
1.43519E-06,-0.3472,-0.5268,-9.7257,-0.0006,0,0.001,50.8205,75.7133,-47.649,0.143518519
1.43519E-06,-0.3448,-0.5052,-9.7138,-0.0012,-0.0011,0.0005,50.8205,75.7133,-47.649,0.143518519
1.43519E-06,-0.3448,-0.5052,-9.7138,-0.0012,-0.0011,0.0005,50.8205,75.7133,-47.649,0.143518519
1.43519E-06,-0.3448,-0.5076,-9.7449,0.0004,0,0.0005,50.8205,75.7133,-47.649,0.143518519
1.43519E-06,-0.3448,-0.5076,-9.7449,0.0004,0,0.0005,50.8205,75.7133,-47.649,0.143518519
1.43519E-06,-0.34,-0.522,-9.721,-0.0001,0.0005,0.001,50.8205,75.7133,-47.649,0.143518519
1.43519E-06,-0.3376,-0.51,-9.7329,-0.0001,0,-0.0001,50.8205,75.7133,-47.649,0.143518519
1.43519E-06,-0.3376,-0.51,-9.7329,-0.0001,0,-0.0001,50.8205,75.7133,-47.649,0.143518519
2.68519E-06,-0.352,-0.5124,-9.7401,0.0004,0,-0.0001,50.2741,76.6212,-46.4272,0.268518519
2.68519E-06,-0.352,-0.5124,-9.7401,0.0004,0,-0.0001,50.2741,76.6212,-46.4272,0.268518519
2.68519E-06,-0.328,-0.51,-9.7401,0.0004,0.0005,0.0005,50.2741,76.6212,-46.4272,0.268518519
2.68519E-06,-0.328,-0.51,-9.7401,0.0004,0.0005,0.0005,50.2741,76.6212,-46.4272,0.268518519
2.68519E-06,-0.3448,-0.5315,-9.7473,-0.0006,0,0.0005,50.2741,76.6212,-46.4272,0.268518519
2.68519E-06,-0.3472,-0.5196,-9.7329,-0.0022,0,0.001,50.2741,76.6212,-46.4272,0.268518519
2.68519E-06,-0.3472,-0.5196,-9.7329,-0.0022,0,0.001,50.2741,76.6212,-46.4272,0.268518519
2.68519E-06,-0.352,-0.51,-9.7114,-0.0001,-0.0011,-0.0006,50.2741,76.6212,-46.4272,0.268518519
2.68519E-06,-0.352,-0.51,-9.7114,-0.0001,-0.0011,-0.0006,50.2741,76.6212,-46.4272,0.268518519
2.68519E-06,-0.3544,-0.5076,-9.7305,-0.0012,0,-0.0001,50.2741,76.6212,-46.4272,0.268518519
4.00463E-06,-0.3544,-0.5076,-9.7305,-0.0012,0,-0.0001,50.2741,76.6212,-46.4272,0.400462963
4.00463E-06,-0.3328,-0.5196,-9.7545,-0.0012,0.0005,0.001,50.8205,74.2608,-45.5545,0.400462963
4.00463E-06,-0.3496,-0.5148,-9.7449,0.0004,0.0005,0.0005,50.8205,74.2608,-45.5545,0.400462963
4.00463E-06,-0.3496,-0.5148,-9.7449,0.0004,0.0005,0.0005,50.8205,74.2608,-45.5545,0.400462963
4.00463E-06,-0.34,-0.5148,-9.7353,-0.0012,-0.0006,-0.0006,50.8205,74.2608,-45.5545,0.400462963
4.00463E-06,-0.34,-0.5148,-9.7353,-0.0012,-0.0006,-0.0006,50.8205,74.2608,-45.5545,0.400462963
4.00463E-06,-0.3424,-0.522,-9.7545,0.0015,-0.0011,-0.0001,50.8205,74.2608,-45.5545,0.400462963
4.00463E-06,-0.3424,-0.522,-9.7545,0.0015,-0.0011,-0.0001,50.8205,74.2608,-45.5545,0.400462963
4.00463E-06,-0.3352,-0.5172,-9.7401,0.0004,-0.0006,-0.0001,50.8205,74.2608,-45.5545,0.400462963
4.00463E-06,-0.3472,-0.5363,-9.7257,-0.0006,-0.0011,-0.0001,50.8205,74.2608,-45.5545,0.400462963
5.15046E-06,-0.3472,-0.5363,-9.7257,-0.0006,-0.0011,-0.0001,50.8205,74.2608,-45.5545,0.515046296
5.15046E-06,-0.3424,-0.5124,-9.7473,-0.0006,0.0005,-0.0001,50.6384,75.5317,-46.4272,0.515046296
5.15046E-06,-0.3424,-0.5124,-9.7473,-0.0006,0.0005,-0.0001,50.6384,75.5317,-46.4272,0.515046296
5.15046E-06,-0.3639,-0.5172,-9.7353,-0.0006,-0.0006,0.001,50.6384,75.5317,-46.4272,0.515046296
5.15046E-06,-0.3639,-0.5172,-9.7353,-0.0006,-0.0006,0.001,50.6384,75.5317,-46.4272,0.515046296
5.15046E-06,-0.34,-0.5339,-9.685,0.0004,-0.0011,0.0005,50.6384,75.5317,-46.4272,0.515046296
5.15046E-06,-0.352,-0.5076,-9.7521,-0.0006,0,-0.0011,50.6384,75.5317,-46.4272,0.515046296
5.15046E-06,-0.352,-0.5076,-9.7521,-0.0006,0,-0.0011,50.6384,75.5317,-46.4272,0.515046296
6.45833E-06,-0.3304,-0.522,-9.7425,0.0004,0,-0.0001,50.6384,75.5317,-46.4272,0.645833333
6.45833E-06,-0.3304,-0.522,-9.7425,0.0004,0,-0.0001,50.6384,75.5317,-46.4272,0.645833333
6.45833E-06,-0.352,-0.5028,-9.7114,-0.0001,-0.0011,-0.0001,50.6384,75.5317,-46.4272,0.645833333
6.45833E-06,-0.352,-0.5028,-9.7114,-0.0001,-0.0011,-0.0001,50.6384,75.5317,-46.4272,0.645833333
6.45833E-06,-0.352,-0.5172,-9.7114,-0.0001,0.0005,0.0005,50.6384,75.5317,-46.4272,0.645833333
6.45833E-06,-0.3161,-0.498,-9.7593,-0.0012,-0.0011,-0.0006,50.2741,74.8055,-46.0781,0.645833333
6.45833E-06,-0.3161,-0.498,-9.7593,-0.0012,-0.0011,-0.0006,50.2741,74.8055,-46.0781,0.645833333
6.45833E-06,-0.34,-0.5411,-9.7162,-0.0001,-0.0011,-0.0011,50.2741,74.8055,-46.0781,0.645833333
6.45833E-06,-0.34,-0.5411,-9.7162,-0.0001,-0.0011,-0.0011,50.2741,74.8055,-46.0781,0.645833333
6.45833E-06,-0.3304,-0.51,-9.7617,-0.0017,-0.0011,-0.0001,50.2741,74.8055,-46.0781,0.645833333
7.70833E-06,-0.3304,-0.51,-9.7617,-0.0017,-0.0011,-0.0001,50.2741,74.8055,-46.0781,0.770833333
7.70833E-06,-0.3304,-0.5196,-9.7353,0.0004,-0.0006,0.001,50.2741,74.8055,-46.0781,0.770833333
7.70833E-06,-0.3352,-0.5148,-9.709,-0.0006,-0.0006,0.001,50.2741,74.8055,-46.0781,0.770833333
7.70833E-06,-0.3352,-0.5148,-9.709,-0.0006,-0.0006,0.001,50.2741,74.8055,-46.0781,0.770833333
7.70833E-06,-0.3352,-0.5244,-9.6898,0.001,0,0.0005,50.2741,74.8055,-46.0781,0.770833333
7.70833E-06,-0.3352,-0.5244,-9.6898,0.001,0,0.0005,50.2741,74.8055,-46.0781,0.770833333
7.70833E-06,-0.3208,-0.5268,-9.7521,-0.0001,-0.0006,0.001,51.0027,75.5317,-47.4744,0.770833333
7.70833E-06,-0.3208,-0.5268,-9.7521,-0.0001,-0.0006,0.001,51.0027,75.5317,-47.4744,0.770833333
7.70833E-06,-0.3424,-0.5387,-9.7305,0.0004,0,0.0005,51.0027,75.5317,-47.4744,0.770833333
7.70833E-06,-0.3065,-0.5339,-9.7281,-0.0001,0,0.0005,51.0027,75.5317,-47.4744,0.770833333
9.02778E-06,-0.3065,-0.5339,-9.7281,-0.0001,0,0.0005,51.0027,75.5317,-47.4744,0.902777778
9.02778E-06,-0.34,-0.4932,-9.7257,-0.0017,-0.0006,0.0005,51.0027,75.5317,-47.4744,0.902777778
9.02778E-06,-0.34,-0.4932,-9.7257,-0.0017,-0.0006,0.0005,51.0027,75.5317,-47.4744,0.902777778
9.02778E-06,-0.3591,-0.5244,-9.7688,-0.0001,0,-0.0001,51.0027,75.5317,-47.4744,0.902777778
9.02778E-06,-0.3591,-0.5244,-9.7688,-0.0001,0,-0.0001,51.0027,75.5317,-47.4744,0.902777778
9.02778E-06,-0.3376,-0.5076,-9.7305,-0.0006,0,0.0005,51.0027,75.5317,-47.4744,0.902777778
9.02778E-06,-0.3424,-0.522,-9.7521,-0.0006,0,0.0005,51.0027,75.5317,-47.4744,0.902777778
9.02778E-06,-0.3424,-0.522,-9.7521,-0.0006,0,0.0005,52.4599,75.1686,-45.729,0.902777778
9.02778E-06,-0.328,-0.5339,-9.7305,-0.0012,0,-0.0006,52.4599,75.1686,-45.729,0.902777778
9.02778E-06,-0.328,-0.5339,-9.7305,-0.0012,0,-0.0006,52.4599,75.1686,-45.729,0.902777778
1.02431E-05,-0.3376,-0.5411,-9.7138,0.0004,0.0005,-0.0006,52.4599,75.1686,-45.729,1.024305556
1.02431E-05,-0.3376,-0.5411,-9.7138,0.0004,0.0005,-0.0006,52.4599,75.1686,-45.729,1.024305556
1.02431E-05,-0.3304,-0.5076,-9.7018,-0.0001,0.0005,0.001,52.4599,75.1686,-45.729,1.024305556
1.02431E-05,-0.3304,-0.5076,-9.7018,-0.0001,0.0005,0.001,52.4599,75.1686,-45.729,1.024305556
1.02431E-05,-0.3352,-0.5244,-9.7377,-0.0006,0,0.0015,52.4599,75.1686,-45.729,1.024305556
