Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11
3.47222E-08,0.656,-0.4406,-9.7114,-0.0004,-0.0008,-0.0004,23.6798,37.0396,-28.6243,0.003472222
3.47222E-08,0.656,-0.4406,-9.7114,-0.0004,-0.0008,-0.0004,23.6798,37.0396,-28.6243,0.003472222
3.47222E-08,0.6584,-0.4621,-9.7497,-0.0004,0.0003,0.0001,23.862,36.1318,-26.3553,0.003472222
3.47222E-08,0.6584,-0.4621,-9.7497,-0.0004,0.0003,0.0001,23.862,36.1318,-26.3553,0.003472222
3.47222E-08,0.6417,-0.4669,-9.7401,-0.0009,0.0003,0.0007,23.862,36.1318,-26.3553,0.003472222
3.47222E-08,0.6417,-0.4669,-9.7401,-0.0009,0.0003,0.0007,23.862,36.1318,-26.3553,0.003472222
3.47222E-08,0.6656,-0.4549,-9.7593,-0.0004,0.0003,0.0012,23.862,36.1318,-26.3553,0.003472222
3.47222E-08,0.6345,-0.4549,-9.7497,0.0002,0.0003,0.0007,23.862,36.1318,-26.3553,0.003472222
3.47222E-08,0.6345,-0.4549,-9.7497,0.0002,0.0003,0.0007,23.862,36.1318,-26.3553,0.003472222
3.47222E-08,0.6441,-0.4597,-9.7018,-0.0004,-0.0008,0.0007,23.862,36.1318,-26.3553,0.003472222
3.47222E-08,0.6441,-0.4597,-9.7018,-0.0004,-0.0008,0.0007,23.862,36.1318,-26.3553,0.003472222
3.47222E-08,0.6441,-0.4765,-9.7473,0.0012,0.0003,0.0007,23.862,36.1318,-26.3553,0.003472222
3.47222E-08,0.6441,-0.4765,-9.7473,0.0012,0.0003,0.0007,23.862,36.1318,-26.3553,0.003472222
3.47222E-08,0.6704,-0.4573,-9.7545,-0.0014,-0.0008,0.0007,23.4977,37.2212,-28.4497,0.003472222
3.47222E-08,0.6489,-0.4501,-9.7808,0.0002,-0.0013,0.0007,23.4977,37.2212,-28.4497,0.003472222
3.47222E-08,0.6489,-0.4501,-9.7808,0.0002,-0.0013,0.0007,23.4977,37.2212,-28.4497,0.003472222
3.47222E-08,0.656,-0.4549,-9.7641,-0.0004,-0.0013,0.0001,23.4977,37.2212,-28.4497,0.003472222
3.47222E-08,0.656,-0.4549,-9.7641,-0.0004,-0.0013,0.0001,23.4977,37.2212,-28.4497,0.003472222
3.47222E-08,0.6728,-0.4693,-9.7473,0.0002,-0.0008,0.0007,23.4977,37.2212,-28.4497,0.003472222
3.47222E-08,0.6728,-0.4693,-9.7473,0.0002,-0.0008,0.0007,23.4977,37.2212,-28.4497,0.003472222
3.47222E-08,0.6632,-0.4573,-9.721,-0.0004,-0.0002,0.0007,23.4977,37.2212,-28.4497,0.003472222
