5.53241E-06,-47,-94,954,0,-0.06,0.12,11.19,-30,20.5,0.553240741,-0.047,-0.094,0.954
1.68056E-05,-50,-91,956,-0.06,0.06,0.06,10.75,-30.37,19.69,1.680555556,-0.05,-0.091,0.956
2.83449E-05,-48,-93,956,-0.06,0.06,-0.06,10.06,-30.37,21,2.834490741,-0.048,-0.093,0.956
3.97106E-05,-48,-94,958,0,0.06,0,10.06,-30,22.06,3.971064815,-0.048,-0.094,0.958
5.10301E-05,-47,-95,955,0.12,-0.06,0,10.06,-30,20.5,5.103009259,-0.047,-0.095,0.955
6.46296E-05,-49,-95,955,0,-0.12,0.12,10.06,-30.37,21.25,6.462962963,-0.049,-0.095,0.955
7.47569E-05,-48,-94,956,0,-0.12,-0.12,10.06,-30.37,20.5,7.475694444,-0.048,-0.094,0.956
8.65856E-05,-49,-94,955,0,0.12,-0.06,10.5,-30,21,8.658564815,-0.049,-0.094,0.955
9.81481E-05,-47,-93,957,0,0.12,0,10.5,-30,19.69,9.814814815,-0.047,-0.093,0.957
0.000109537,-49,-94,955,0,0,0,9.69,-29.69,21,10.9537037,-0.049,-0.094,0.955
0.000122095,-47,-93,954,0.06,0.12,0,10.06,-30.69,19.25,12.20949074,-0.047,-0.093,0.954
0.000133461,-46,-93,958,-0.06,0.06,0,9.69,-30.69,20.06,13.34606481,-0.046,-0.093,0.958
0.000144815,-47,-91,953,0.06,0.06,-0.06,10.5,-31.06,20.5,14.48148148,-0.047,-0.091,0.953
0.000156285,-46,-93,955,0.06,0,-0.06,10.5,-31.06,20.5,15.62847222,-0.046,-0.093,0.955
0.000168912,-49,-94,956,0,0,0,10.06,-30.69,20.06,16.8912037,-0.049,-0.094,0.956
0.00018044,-49,-93,955,-0.06,0,0.06,10.5,-30.37,20.06,18.04398148,-0.049,-0.093,0.955
0.000191725,-46,-95,953,0,0.19,-0.06,11.56,-30.37,21,19.1724537,-0.046,-0.095,0.953
0.00020309,-51,-93,953,-0.06,-0.12,0,10.5,-30.69,19.25,20.30902778,-0.051,-0.093,0.953
0.000214618,-48,-92,955,-0.12,-0.06,0,10.5,-30.69,21,21.46180556,-0.048,-0.092,0.955
0.000227176,-49,-92,955,0.06,0.06,0,10.06,-30,21,22.71759259,-0.049,-0.092,0.955
0.000238553,-47,-94,953,-0.06,-0.06,0.06,10.06,-30,19.25,23.85532407,-0.047,-0.094,0.953
0.00025,-49,-92,952,0,0,0,10.75,-30.69,20.5,25,-0.049,-0.092,0.952
0.000261308,-47,-93,957,-0.06,-0.19,0.12,10.5,-29.69,20.56,26.13078704,-0.047,-0.093,0.957
0.000272847,-47,-94,955,0.06,0,0.06,10.5,-30.69,20.06,27.28472222,-0.047,-0.094,0.955
0.000285347,-48,-93,958,0.06,-0.06,0,10.5,-30.69,21.25,28.53472222,-0.048,-0.093,0.958
