0:00:56.867	 -47.00 -94.00 955.00 0.06 0.19 -0.19 10.50 -30.37 19.75 
0:00:57.958	 -48.00 -95.00 955.00 0.00 -0.06 0.06 9.69 -30.00 20.06 
0:00:58.939	 -47.00 -91.00 956.00 0.06 0.19 -0.12 9.69 -30.37 20.06 
0:00:59.930	 -48.00 -93.00 952.00 -0.12 0.31 -0.06 11.19 -30.69 20.50 
0:01:00.911	 -48.00 -93.00 953.00 0.00 0.06 -0.06 9.00 -30.37 19.75 
0:01:01.894	 -48.00 -93.00 954.00 -0.06 -0.19 0.00 10.50 -30.69 19.25 
0:01:02.995	 -47.00 -91.00 955.00 0.06 0.00 0.06 10.75 -31.06 21.00 
0:01:03.973	 -47.00 -94.00 954.00 0.00 0.06 0.06 10.75 -30.37 20.06 
0:01:04.955	 -49.00 -92.00 954.00 -0.06 -0.12 0.00 10.75 -30.75 19.75 
0:01:05.945	 -47.00 -91.00 956.00 -0.06 -0.06 0.00 10.75 -30.37 20.06 
0:01:06.974	 -46.00 -93.00 956.00 0.00 -0.06 0.12 10.50 -30.37 20.06 
0:01:07.955	 -48.00 -93.00 954.00 0.06 -0.06 0.00 10.06 -30.37 19.75 
0:01:08.947	 -48.00 -92.00 951.00 0.06 0.06 0.00 10.06 -31.06 19.75 
0:01:10.037	 -49.00 -93.00 954.00 -0.06 -0.12 0.06 9.69 -30.37 21.00 
0:01:11.027	 -48.00 -94.00 955.00 -0.06 0.12 0.06 10.50 -30.37 19.75 
0:01:12.004	 -49.00 -94.00 954.00 -0.06 -0.12 -0.06 10.06 -31.50 20.56 
0:01:12.989	 -47.00 -93.00 957.00 0.12 0.06 -0.12 10.50 -30.37 21.25 
0:01:14.080	 -47.00 -93.00 957.00 0.06 -0.06 0.00 10.50 -29.69 21.00 
0:01:15.066	 -49.00 -92.00 956.00 0.00 -0.06 -0.12 10.75 -31.06 19.75 
0:01:16.056	 -47.00 -94.00 954.00 0.06 -0.06 0.12 10.06 -30.75 21.37 
0:01:17.037	 -49.00 -93.00 953.00 -0.06 0.12 -0.06 11.56 -31.06 19.75 
0:01:18.128	 -45.00 -95.00 954.00 0.06 0.00 0.00 10.75 -29.69 20.50 
0:01:19.122	 -49.00 -92.00 955.00 0.06 0.19 -0.06 9.69 -30.37 19.75 
0:01:20.099	 -50.00 -92.00 955.00 0.00 0.19 0.00 10.50 -31.06 20.56 
0:01:21.082	 -49.00 -97.00 956.00 0.00 0.06 0.12 10.75 -30.75 20.56 
0:01:22.072	 -49.00 -91.00 955.00 0.00 -0.12 0.00 10.50 -30.37 21.25 
0:01:23.157	 -48.00 -92.00 957.00 0.06 -0.19 0.00 10.50 -29.69 20.56 
0:01:24.143	 -50.00 -91.00 954.00 0.00 0.12 0.12 9.69 -30.37 20.56 
0:01:25.135	 -47.00 -95.00 954.00 0.06 -0.12 0.00 9.69 -30.37 20.56 
0:01:26.109	 -49.00 -95.00 954.00 0.00 -0.12 -0.06 10.06 -30.37 19.75 
0:01:27.094	 -50.00 -92.00 956.00 0.06 0.00 0.00 10.50 -30.37 20.56 
0:01:28.195	 -49.00 -93.00 955.00 -0.06 0.06 0.00 10.06 -30.00 20.56 
0:01:29.177	 -49.00 -93.00 956.00 0.00 0.06 0.12 10.50 -31.87 19.75 
