0:00:00.014	-0.008828,-0.439480,-9.783980,0.000562,0.000316,-0.000880,-20.241224,-1.175478,-15.324494
0:00:00.113	-0.023210,-0.420292,-9.793499,-0.000237,0.000449,0.000185,-21.058746,-2.887829,-13.263711
0:00:00.331	-0.032799,-0.439480,-9.779220,0.000429,-0.000350,0.000318,-20.568233,-2.317044,-14.200430
0:00:00.551	-0.023210,-0.434683,-9.788741,-0.000104,0.000449,0.000318,-20.731739,-1.746260,-13.638400
0:00:00.773	-0.018416,-0.439480,-9.807780,0.000429,0.000449,0.000318,-19.914215,-1.175478,-13.451054
0:00:00.986	-0.023210,-0.439480,-9.774460,0.000562,0.000049,0.000451,-20.731739,-0.604694,-15.137150
0:00:01.207	-0.023210,-0.434683,-9.798259,0.000029,0.000316,-0.000214,-20.404727,-2.507305,-13.263711
0:00:01.424	-0.023210,-0.444277,-9.774460,0.000162,0.000182,0.000451,-20.241224,-1.175478,-13.451054
0:00:01.533	-0.018416,-0.434683,-9.774460,-0.000503,0.000049,-0.000081,-20.568233,-2.697568,-13.825742
0:00:01.752	-0.028004,-0.439480,-9.793499,0.000162,0.000182,-0.000481,-20.241224,-2.317044,-14.200430
0:00:01.971	-0.028004,-0.439480,-9.779220,-0.000503,0.000316,0.000052,-19.260196,-2.317044,-13.451054
0:00:02.193	-0.032799,-0.449074,-9.764940,0.000429,-0.000483,0.000984,-19.914215,-1.555999,-15.699182
0:00:02.412	-0.018416,-0.444277,-9.803019,0.000961,-0.000084,-0.000481,-20.731739,-4.790440,-14.387774
0:00:02.632	-0.037593,-0.458668,-9.779220,0.000961,-0.000750,0.000451,-18.933187,-1.175478,-14.575119
0:00:02.846	-0.023210,-0.429886,-9.774460,-0.001036,0.000182,0.000984,-22.693792,-1.746260,-14.387774
0:00:03.064	-0.008828,-0.439480,-9.807780,-0.000104,0.001381,0.000185,-19.096693,-1.365737,-13.263711
0:00:03.282	-0.023210,-0.444277,-9.798259,0.000029,0.000049,-0.000081,-19.914215,-1.555999,-14.575119
0:00:03.504	-0.018416,-0.439480,-9.798259,-0.000503,0.000182,-0.000747,-20.731739,-2.887829,-15.137150
0:00:03.725	-0.023210,-0.444277,-9.798259,0.000429,-0.001016,0.000318,-19.750711,-1.746260,-15.137150
0:00:03.831	-0.018416,-0.449074,-9.788741,-0.000237,-0.000084,0.000185,-20.241224,-2.697568,-13.825742
0:00:04.053	-0.028004,-0.429886,-9.788741,-0.000104,-0.000883,0.000451,-21.549259,-1.555999,-13.451054
0:00:04.271	-0.018416,-0.439480,-9.793499,-0.000370,-0.000350,-0.000747,-19.423700,-0.985215,-14.013086
0:00:04.489	-0.032799,-0.434683,-9.769700,0.000562,0.000316,-0.000348,-20.895242,-1.175478,-14.200430
0:00:04.709	-0.028004,-0.425089,-9.769700,0.000162,-0.000084,0.000318,-19.914215,-3.078089,-14.949806
0:00:04.928	-0.023210,-0.449074,-9.798259,-0.000237,0.001115,0.000052,-22.366783,-1.365737,-14.762462
0:00:05.636	-0.037593,-0.434683,-9.783980,-0.000104,0.000049,-0.000747,-19.096693,-2.126784,-15.137150
